Day,BikeScore,Test_5min_Power
1,46.46,
2,26.7,
3,177.37,
4,0,
5,36.64,
6,62.52,
7,52.46,
8,41,
9,0,
10,29.98,
11,0,
12,38.17,
13,75.23,
14,35.73,
15,0,
16,39.03,
17,0,
18,51.51,
19,61.12,
20,31.32,
21,0,
22,14.37,
23,38.4,
24,0,
25,0,
26,0,
27,0,
28,60.31,
29,38.45,
30,0,
31,98.57,
32,45.64,
33,0,
34,21.03,
35,23.54,
36,55.53,
37,43.31,
38,0,
39,88.48,
40,35.77,
41,0,
42,0,
43,0,
44,46.83,
45,88.1,271
46,0,
47,32.09,
48,65.53,274
49,0,
50,32.09,
51,46.55,
52,51.06,
53,0,
54,96.66,
55,0,
56,53.62,282
57,0,
58,0,
59,0,
60,50.95,
61,59.19,
62,50.53,
63,39.33,
64,0,
65,0,
66,0,
67,55.38,
68,0,
69,25.19,
70,85.53,290
71,0,
72,0,
73,0,
74,61.28,
75,0,
76,41.69,
77,90.1,292
78,0,
79,47.4,
80,52.16,
81,0,
82,0,
83,49.22,296
84,0,
85,0,
86,48.26,
87,0,
88,57.94,
89,0,
90,75.17,
91,0,
92,26.7,
93,0,
94,51.99,
95,0,
96,86.6,
97,54.09,
98,0,
99,43.19,
100,0,
101,100.79,
102,40.49,
103,0,
104,0,
105,62.46,299
106,71.87,
107,0,
108,36.21,
109,46.51,
110,0,
111,0,
112,72.89,
113,69.89,
114,0,
115,167.6,296
116,39.47,
117,0,
118,43.38,
119,17.63,
120,0,
121,60.49,
122,98.95,
123,50.46,
124,0,
125,25,
126,0,
127,85.41,
128,0,
129,136.27,
130,0,
131,0,
132,51.17,302
133,0,
134,99.37,
135,0,
136,139.22,
137,0,
138,0,
139,0,
140,0,
141,0,
142,0,
143,0,
144,0,
145,0,
146,0,
147,0,
148,0,
149,0,
150,0,
151,0,
152,0,
153,0,
154,0,
155,0,
156,0,
157,0,
158,0,
159,0,
160,0,
161,0,
162,0,
163,0,
164,0,
165,0,