Day,Injury,Location,Type,RPE.Load,Total.Distance,HS.Distance
1,0,,,567.00,6628.00,92.00
2,0,,,0.00,0.00,0.00
3,0,,,672.00,8255.00,864.00
4,0,,,0.00,0.00,0.00
5,0,,,775.00,8029.00,1708.00
6,0,,,669.00,6418.00,1124.00
7,0,,,0.00,0.00,0.00
8,0,,,908.00,5635.00,1233.00
9,0,,,2266.00,12223.00,2897.00
10,0,,,1407.00,6318.00,1581.00
11,0,,,1468.00,7358.00,719.00
12,0,,,899.00,5781.00,1555.00
13,0,,,1371.00,10023.00,1096.00
14,0,,,505.88,5455.00,178.00
15,0,,,1301.00,5761.00,2925.00
16,0,,,1156.00,0.00,0.00
17,0,,,0.00,0.00,0.00
18,0,,,0.00,0.00,0.00
19,0,,,0.00,0.00,0.00
20,0,,,0.00,0.00,0.00
21,0,,,0.00,0.00,0.00
22,0,,,1350.00,8788.00,180.00
23,0,,,0.00,0.00,0.00
24,0,,,1700.00,10026.00,1173.00
25,0,,,0.00,0.00,0.00
26,0,,,1794.00,14193.00,2623.00
27,0,,,669.00,8511.00,90.00
28,0,,,0.00,0.00,0.00
29,0,,,1273.00,13405.00,1787.00
30,0,,,0.00,0.00,0.00
31,0,,,1342.00,11495.00,1054.00
32,0,,,0.00,0.00,0.00
33,0,,,1365.00,16846.00,2163.00
34,0,,,0.00,0.00,0.00
35,0,,,0.00,0.00,0.00
36,0,,,0.00,0.00,0.00
37,0,,,0.00,0.00,0.00
38,0,,,0.00,0.00,0.00
39,0,,,0.00,0.00,0.00
40,0,,,0.00,0.00,0.00
41,0,,,0.00,0.00,0.00
42,0,,,0.00,0.00,0.00
43,0,,,0.00,0.00,0.00
44,0,,,0.00,0.00,0.00
45,0,,,0.00,0.00,0.00
46,0,,,0.00,0.00,0.00
47,0,,,0.00,0.00,0.00
48,0,,,0.00,0.00,0.00
49,0,,,0.00,0.00,0.00
50,0,,,874.00,8788.00,180.00
51,0,,,0.00,0.00,0.00
52,0,,,1365.00,12640.00,1858.00
53,0,,,0.00,0.00,0.00
54,0,,,1110.00,10061.00,696.00
55,0,,,0.00,0.00,0.00
56,0,,,0.00,0.00,0.00
57,0,,,1390.00,13272.00,1583.00
58,0,,,0.00,0.00,0.00
59,0,,,1496.00,11394.00,1973.00
60,0,,,0.00,0.00,0.00
61,0,,,1444.00,13348.00,1860.00
62,0,,,1043.00,7500.00,2315.00
63,0,,,0.00,0.00,0.00
64,0,,,2013.00,13329.00,2786.00
65,0,,,0.00,0.00,0.00
66,0,,,2139.00,13883.00,3115.00
67,0,,,0.00,0.00,0.00
68,0,,,2258.00,12988.00,3329.00
69,0,,,0.00,0.00,0.00
70,0,,,0.00,0.00,0.00
71,0,,,0.00,0.00,0.00
72,0,,,1347.00,8060.00,857.00
73,0,,,0.00,0.00,0.00
74,0,,,1226.00,7813.00,863.00
75,0,,,0.00,0.00,0.00
76,0,,,1394.00,7391.00,689.00
77,0,,,0.00,0.00,0.00
78,0,,,1725.00,13167.00,2099.00
79,0,,,0.00,0.00,0.00
80,0,,,988.00,10884.00,2650.00
81,0,,,0.00,0.00,0.00
82,0,,,986.00,10274.00,2259.00
83,0,,,0.00,0.00,0.00
84,0,,,0.00,0.00,0.00
85,0,,,611.00,4796.00,2205.00
86,0,,,1329.00,7165.00,853.00
87,0,,,0.00,0.00,0.00
88,0,,,1495.00,8711.00,1329.00
89,0,,,390.00,0.00,0.00
90,0,,,196.00,4443.00,252.00
91,0,,,1530.00,12316.00,1530.00
92,0,,,0.00,0.00,0.00
93,0,,,0.00,0.00,0.00
94,0,,,0.00,0.00,0.00
95,0,,,1761.00,12536.00,1791.00
96,0,,,325.00,0.00,0.00
97,0,,,780.00,7056.00,948.00
98,0,,,0.00,0.00,0.00
99,0,,,207.00,3568.00,229.00
100,0,,,0.00,0.00,0.00
101,0,,,0.00,0.00,0.00
102,0,,,412.00,3334.00,0.00
103,0,,,0.00,0.00,0.00
104,0,,,912.00,11891.00,2214.00
105,0,,,0.00,0.00,0.00
106,0,,,1229.00,9078.00,1110.00
107,0,,,0.00,0.00,0.00
108,0,,,973.00,6760.00,990.00
109,0,,,325.00,0.00,0.00
110,0,,,447.00,4002.00,323.00
111,0,,,1678.00,13651.00,1529.00
112,0,,,0.00,0.00,0.00
113,0,,,63.00,1602.00,0.00
114,0,,,630.00,4427.00,719.00
115,0,,,0.00,0.00,0.00
116,0,,,888.00,7306.00,379.00
117,0,,,260.00,0.00,0.00
118,0,,,142.00,4003.00,275.00
119,0,,,1678.00,13651.00,1529.00
120,0,,,0.00,0.00,0.00
121,0,,,338.00,1963.00,118.00
122,0,,,197.00,4240.00,640.00
123,0,,,0.00,0.00,0.00
124,0,,,0.00,0.00,0.00
125,0,,,0.00,0.00,0.00
126,0,,,725.00,9379.00,1557.00
127,0,,,25.00,1286.00,0.00
128,0,,,0.00,0.00,0.00
129,0,,,1320.00,8259.00,1108.00
130,0,,,260.00,0.00,0.00
131,0,,,153.00,3451.00,263.00
132,0,,,1628.00,14864.00,2025.00
133,0,,,0.00,0.00,0.00
134,1,,,38.00,1286.00,0.00
135,1,,,389.00,4015.00,564.00
136,1,,,0.00,0.00,0.00
137,1,,,772.00,5169.00,498.00
138,1,,,0.00,0.00,0.00
139,1,,,153.00,3451.00,263.00
140,1,Hamstring,Soft Tissue,1678.00,13651.00,1529.00
141,0,,,0.00,0.00,0.00
142,0,,,0.00,0.00,0.00
143,0,,,455.00,0.00,0.00
144,0,,,390.00,0.00,0.00
145,0,,,136.00,3548.00,0.00
146,0,,,0.00,0.00,0.00
147,0,,,0.00,0.00,0.00
148,0,,,275.00,4669.00,108.00
149,0,,,0.00,0.00,0.00
150,0,,,784.00,7296.00,152.00
151,0,,,0.00,0.00,0.00
152,0,,,846.83,8350.00,417.00
153,0,,,0.00,0.00,0.00
154,0,,,642.00,9170.00,1684.00
155,0,,,0.00,0.00,0.00
156,0,,,936.00,6779.00,1427.00
157,0,,,0.00,0.00,0.00
158,0,,,993.00,7166.00,846.00
159,0,,,390.00,0.00,0.00
160,0,,,718.00,8251.00,1453.00
161,0,,,0.00,0.00,0.00
162,0,,,115.06,2725.00,155.00
163,0,,,0.00,0.00,0.00
164,0,,,942.00,6311.00,553.00
165,0,,,325.00,0.00,0.00
166,0,,,153.00,3415.00,227.00
167,0,,,1656.00,16173.00,2022.00
168,0,,,0.00,0.00,0.00
169,0,,,111.00,2139.00,0.00
170,0,,,0.00,0.00,0.00
171,0,,,998.00,6814.00,559.00
172,0,,,325.00,0.00,0.00
173,0,,,670.00,3395.00,127.00
174,0,,,1507.00,15657.00,1611.00
175,0,,,0.00,0.00,0.00
176,0,,,118.00,2291.00,0.00
177,0,,,421.00,5921.00,1394.00
178,0,,,0.00,0.00,0.00
179,0,,,0.00,0.00,0.00
180,0,,,308.39,5854.00,487.00
181,0,,,0.00,0.00,0.00
182,0,,,1001.00,10541.00,1152.00
183,0,,,390.00,0.00,0.00
184,0,,,0.00,0.00,0.00
185,0,,,1038.00,7706.00,843.00
186,0,,,325.00,0.00,0.00
187,0,,,153.00,3367.00,268.00
188,0,Contact,Structural,1309.00,11445.00,1224.00
189,0,,,0.00,0.00,0.00
190,0,,,0.00,0.00,0.00
191,0,,,0.00,0.00,0.00
192,0,,,390.00,0.00,0.00
193,0,,,325.00,0.00,0.00
194,0,,,0.00,0.00,0.00
195,0,,,0.00,0.00,0.00
196,0,,,0.00,0.00,0.00
197,0,,,260.00,0.00,0.00
198,0,,,0.00,0.00,0.00
199,0,,,644.00,3265.00,0.00
200,0,,,0.00,0.00,0.00
201,0,,,0.00,0.00,0.00
202,0,,,0.00,0.00,0.00
203,0,,,0.00,0.00,0.00
204,0,,,251.00,2142.00,310.00
205,0,,,0.00,0.00,0.00
206,0,,,819.00,5900.00,833.00
207,0,,,260.00,0.00,0.00
208,0,,,93.00,2400.00,233.00
209,0,,,1713.00,13394.00,998.00
210,0,,,0.00,0.00,0.00
211,0,,,325.00,0.00,0.00
212,0,,,0.00,0.00,0.00
213,0,,,1027.00,7164.00,815.00
214,0,,,390.00,0.00,0.00
215,0,,,164.00,3702.00,196.00
216,0,,,1651.00,14796.00,1297.00
217,0,,,0.00,0.00,0.00
218,0,,,36.00,2110.00,0.00
219,0,,,0.00,0.00,0.00
220,0,,,0.00,0.00,0.00
221,0,,,925.00,7041.00,762.00
222,0,,,260.00,0.00,0.00
223,0,,,145.00,2925.00,176.00
224,0,,,1680.00,14992.00,1743.00
225,0,,,0.00,0.00,0.00
226,0,,,0.00,0.00,0.00
227,1,,,964.00,6760.00,673.00
228,1,,,260.00,0.00,0.00
229,1,,,104.00,2308.00,253.00
230,1,,,1629.00,15692.00,1844.00
231,1,,,0.00,0.00,0.00
232,1,,,443.00,2526.00,0.00
233,1,Hamstring,Soft Tissue,487.00,1988.00,409.00
234,0,,,0.00,0.00,0.00
235,0,,,325.00,0.00,0.00
236,0,,,0.00,0.00,0.00
237,0,,,83.00,2862.00,0.00
238,0,,,0.00,0.00,0.00
239,0,,,145.00,4515.00,0.00
240,0,,,390.00,0.00,0.00
241,0,,,216.00,5159.00,260.00
242,0,,,455.00,0.00,0.00
243,0,,,743.00,7688.00,738.00
244,0,,,0.00,0.00,0.00
245,0,,,0.00,0.00,0.00
246,0,,,492.00,7199.00,1074.00
247,0,,,0.00,0.00,0.00
248,0,,,748.00,8499.00,1592.00
249,0,,,0.00,0.00,0.00
250,0,,,268.00,3341.00,209.00
251,0,,,0.00,0.00,0.00
252,0,,,686.00,8808.00,1217.00
253,0,,,325.00,0.00,0.00
254,0,,,0.00,0.00,0.00
255,0,,,0.00,0.00,0.00
256,0,,,761.00,5942.00,782.00
257,0,,,325.00,0.00,0.00
258,0,,,163.00,3265.00,142.00
259,0,,,1545.00,15737.00,1884.00
260,0,,,0.00,0.00,0.00
261,0,,,0.00,0.00,0.00
262,0,,,807.00,6129.00,711.00
263,0,,,325.00,0.00,0.00
264,0,,,185.00,4201.00,316.00
265,0,,,1531.00,13816.00,1725.00
266,1,,,0.00,0.00,0.00
267,1,,,0.00,0.00,0.00
268,1,,,0.00,0.00,0.00
269,1,,,748.00,5580.00,804.00
270,1,,,260.00,0.00,0.00
271,1,,,139.00,4201.00,316.00
272,1,Stress - Groin,Overuse,0.00,0.00,0.00
273,0,,,158.00,3104.00,1255.00
274,0,,,0.00,0.00,0.00
275,0,,,715.00,5127.00,513.00
276,0,,,0.00,0.00,0.00
277,0,,,143.00,3643.00,140.00
278,0,,,1699.00,16339.00,1833.00
279,0,,,0.00,0.00,0.00
280,0,,,0.00,0.00,0.00
281,0,,,147.00,3109.00,133.00
282,0,,,0.00,0.00,0.00
283,0,,,640.00,0.00,0.00
284,0,,,325.00,0.00,0.00
285,0,,,70.00,2373.00,54.00
286,0,,,1292.00,5163.00,736.00
287,0,,,0.00,0.00,0.00
288,0,,,106.00,2502.00,65.00
289,0,,,655.00,5499.00,272.00
290,0,,,0.00,0.00,0.00
291,0,,,851.00,6632.00,575.00
292,0,,,0.00,0.00,0.00
293,0,,,148.00,2680.00,97.00
294,0,,,1648.00,15027.00,1584.00
295,0,,,0.00,0.00,0.00
296,0,,,0.00,0.00,0.00
297,0,,,843.00,4632.00,285.00
298,0,,,195.00,0.00,0.00
299,0,,,103.00,2867.00,187.00
300,0,,,1765.00,16106.00,1903.00
301,0,,,0.00,0.00,0.00
302,0,,,0.00,0.00,0.00
303,0,,,0.00,0.00,0.00
304,0,,,390.00,0.00,0.00
305,0,,,0.00,0.00,0.00
306,0,,,152.01,2867.00,187.00
307,0,,,1640.37,15326.00,2054.00
308,0,,,0.00,0.00,0.00
309,0,,,0.00,0.00,0.00
310,0,,,0.00,0.00,0.00
311,0,,,0.00,0.00,0.00
312,0,,,0.00,0.00,0.00
313,0,,,0.00,0.00,0.00
314,0,,,0.00,0.00,0.00
315,0,,,0.00,0.00,0.00
316,0,,,0.00,0.00,0.00
317,0,,,0.00,0.00,0.00
318,0,,,0.00,0.00,0.00
319,0,,,0.00,0.00,0.00
320,0,,,0.00,0.00,0.00
321,0,,,0.00,0.00,0.00
322,0,,,0.00,0.00,0.00
323,0,,,0.00,0.00,0.00
324,0,,,0.00,0.00,0.00
325,0,,,0.00,0.00,0.00
326,0,,,0.00,0.00,0.00
327,0,,,0.00,0.00,0.00
328,0,,,0.00,0.00,0.00
329,0,,,0.00,0.00,0.00
330,0,,,0.00,0.00,0.00
331,0,,,0.00,0.00,0.00
332,0,,,0.00,0.00,0.00
333,0,,,0.00,0.00,0.00
334,0,,,0.00,0.00,0.00
335,0,,,0.00,0.00,0.00
336,0,,,0.00,0.00,0.00
337,0,,,0.00,0.00,0.00
338,0,,,0.00,0.00,0.00
339,0,,,0.00,0.00,0.00
340,0,,,0.00,0.00,0.00
341,0,,,0.00,0.00,0.00
342,0,,,0.00,0.00,0.00
343,0,,,0.00,0.00,0.00
344,0,,,0.00,0.00,0.00
345,0,,,0.00,0.00,0.00
346,0,,,0.00,0.00,0.00
347,0,,,0.00,0.00,0.00
348,0,,,0.00,0.00,0.00
349,0,,,0.00,0.00,0.00
350,0,,,0.00,0.00,0.00
351,0,,,0.00,0.00,0.00
352,0,,,0.00,0.00,0.00
353,0,,,0.00,0.00,0.00
354,0,,,0.00,0.00,0.00
355,0,,,0.00,0.00,0.00
356,0,,,0.00,0.00,0.00
357,0,,,0.00,0.00,0.00
358,0,,,0.00,0.00,0.00
359,0,,,0.00,0.00,0.00
360,0,,,0.00,0.00,0.00
361,0,,,0.00,0.00,0.00
362,0,,,0.00,0.00,0.00
363,0,,,0.00,0.00,0.00
364,0,,,0.00,0.00,0.00
365,0,,,0.00,0.00,0.00
366,0,,,0.00,0.00,0.00
367,0,,,0.00,0.00,0.00
368,0,,,0.00,0.00,0.00
369,0,,,0.00,0.00,0.00
370,0,,,0.00,0.00,0.00
371,0,,,0.00,0.00,0.00
372,0,,,0.00,0.00,0.00
373,0,,,0.00,0.00,0.00
374,0,,,0.00,0.00,0.00
375,0,,,0.00,0.00,0.00
376,0,,,0.00,0.00,0.00
377,0,,,0.00,0.00,0.00
378,0,,,0.00,0.00,0.00
379,0,,,838.00,0.00,0.00
380,0,,,728.00,0.00,0.00
381,0,,,59.00,0.00,0.00
382,0,,,0.00,0.00,0.00
383,0,,,0.00,0.00,0.00
384,0,,,1288.00,0.00,0.00
385,0,,,1020.00,0.00,0.00
386,0,,,525.00,0.00,0.00
387,0,,,955.00,6383.00,40.00
388,0,,,909.00,6812.00,31.00
389,0,,,795.00,0.00,0.00
390,0,,,463.00,6575.00,1268.00
391,0,,,1039.00,8357.00,1514.00
392,0,,,0.00,0.00,0.00
393,0,,,0.00,0.00,0.00
394,0,,,0.00,0.00,0.00
395,0,,,0.00,0.00,0.00
396,0,,,682.00,6192.00,2325.00
397,0,,,0.00,0.00,0.00
398,0,,,708.00,6192.00,2325.00
399,0,,,0.00,0.00,0.00
400,0,,,708.00,6192.00,2325.00
401,0,,,0.00,0.00,0.00
402,0,,,761.00,6192.00,2325.00
403,0,,,0.00,0.00,0.00
404,0,,,682.00,6192.00,2325.00
405,0,,,682.00,6192.00,2325.00
406,0,,,0.00,0.00,0.00
407,0,,,682.00,6192.00,2325.00
408,0,,,0.00,0.00,0.00
409,0,,,682.00,6192.00,2325.00
410,0,,,0.00,0.00,0.00
411,0,,,0.00,0.00,0.00
412,0,,,771.00,6119.00,1672.00
413,0,,,0.00,0.00,0.00
414,0,,,1231.00,5443.00,1777.00
415,0,,,795.00,0.00,0.00
416,0,,,1708.00,7818.00,2264.00
417,0,,,0.00,0.00,0.00
418,0,,,1453.00,6838.00,1266.00
419,0,,,0.00,0.00,0.00
420,0,,,0.00,0.00,0.00
421,0,,,1398.00,7465.00,2028.00
422,0,,,270.00,0.00,0.00
423,0,,,1585.00,9877.00,2100.00
424,0,,,0.00,0.00,0.00
425,0,,,1531.00,8091.00,2209.00
426,0,,,0.00,0.00,0.00
427,0,,,0.00,0.00,0.00
428,0,,,1442.00,8952.00,1657.00
429,0,,,315.00,0.00,0.00
430,0,,,1412.00,10018.00,2054.00
431,0,,,0.00,0.00,0.00
432,0,,,1728.00,10294.00,3669.00
433,0,,,0.00,0.00,0.00
434,0,,,0.00,0.00,0.00
435,0,,,0.00,0.00,0.00
436,0,,,1487.00,7936.00,1648.00
437,0,,,0.00,0.00,0.00
438,0,,,1313.00,10307.00,2786.00
439,0,,,0.00,0.00,0.00
440,0,,,1086.00,8762.00,1377.00
441,0,,,0.00,0.00,0.00
442,0,,,1228.00,10486.00,1311.00
443,0,,,653.00,0.00,0.00
444,0,,,1295.00,6649.00,1794.00
445,0,,,0.00,0.00,0.00
446,0,,,728.00,10899.00,1385.00
447,0,,,0.00,0.00,0.00
448,0,,,0.00,0.00,0.00
449,0,,,1233.00,13195.00,1674.00
450,0,,,315.00,0.00,0.00
451,0,,,708.00,6794.00,729.00
452,0,,,0.00,0.00,0.00
453,0,,,1404.00,14227.00,1812.00
454,0,,,0.00,0.00,0.00
455,0,,,0.00,0.00,0.00
456,0,,,0.00,0.00,0.00
457,0,,,0.00,0.00,0.00
458,0,,,0.00,0.00,0.00
459,0,,,1546.00,10432.00,1623.00
460,0,,,0.00,0.00,0.00
461,0,,,1351.00,11084.00,1098.00
462,0,,,0.00,0.00,0.00
463,0,,,1447.00,13243.00,2045.00
464,0,,,315.00,0.00,0.00
465,0,,,1155.00,8610.00,1037.00
466,0,,,0.00,0.00,0.00
467,0,,,1237.00,13728.00,1662.00
468,0,,,0.00,0.00,0.00
469,0,,,661.87,6192.00,2325.00
470,0,,,0.00,0.00,0.00
471,0,,,1382.00,12379.00,2168.00
472,0,,,0.00,0.00,0.00
473,0,,,986.00,8310.00,1157.00
474,0,,,270.00,0.00,0.00
475,0,,,1052.00,10245.00,2154.00
476,0,,,0.00,0.00,0.00
477,0,,,420.00,6464.00,271.00
478,0,,,0.00,0.00,0.00
479,0,,,931.00,9666.00,1430.00
480,0,,,294.00,0.00,0.00
481,0,,,1038.00,9469.00,2188.00
482,0,,,960.00,0.00,0.00
483,0,,,0.00,0.00,0.00
484,0,,,419.00,2756.00,763.00
485,0,,,0.00,0.00,0.00
486,0,,,909.00,6676.00,862.00
487,0,,,225.00,0.00,0.00
488,0,,,993.00,9682.00,2314.00
489,0,,,0.00,0.00,0.00
490,0,,,0.00,0.00,0.00
491,0,,,302.00,1629.00,26.00
492,0,,,696.00,6005.00,776.00
493,0,,,0.00,0.00,0.00
494,0,,,1376.00,13943.00,1680.00
495,0,,,0.00,0.00,0.00
496,0,,,0.00,0.00,0.00
497,0,,,0.00,0.00,0.00
498,0,,,492.00,6027.00,392.00
499,0,,,577.00,5209.00,538.00
500,0,,,0.00,0.00,0.00
501,0,,,611.00,5790.00,617.00
502,0,,,225.00,0.00,0.00
503,0,,,157.00,3007.00,308.00
504,0,,,1149.00,6881.00,1723.00
505,0,,,0.00,0.00,0.00
506,0,,,0.00,0.00,0.00
507,0,,,705.00,6886.00,917.00
508,0,,,270.00,0.00,0.00
509,0,,,150.00,4197.00,399.00
510,0,,,1423.00,15892.00,2457.00
511,0,,,0.00,0.00,0.00
512,0,,,350.00,0.00,0.00
513,0,,,0.00,0.00,0.00
514,0,,,918.00,7909.00,811.00
515,0,,,293.00,0.00,0.00
516,0,,,176.00,2500.00,350.00
517,0,,,1581.00,15892.00,2101.00
518,0,,,0.00,0.00,0.00
519,0,,,273.00,2625.00,0.00
520,0,,,0.00,0.00,0.00
521,0,,,733.00,6556.00,569.00
522,0,,,180.00,0.00,0.00
523,0,,,169.00,3764.00,314.00
524,0,,,1797.00,18284.00,2444.00
525,0,,,0.00,0.00,0.00
526,0,,,14.00,1038.00,0.00
527,0,,,594.00,5540.00,841.00
528,0,,,0.00,0.00,0.00
529,0,,,694.00,5661.00,708.00
530,0,,,225.00,0.00,0.00
531,0,,,113.00,3764.00,314.00
532,0,,,1697.00,17005.00,2223.00
533,0,,,180.00,0.00,0.00
534,0,,,315.00,0.00,0.00
535,0,,,0.00,0.00,0.00
536,0,,,853.00,6554.00,1013.00
537,0,,,0.00,0.00,0.00
538,0,,,154.00,4003.00,496.00
539,0,,,1630.00,17195.00,2213.00
540,0,,,90.00,0.00,0.00
541,0,,,255.00,2376.00,48.00
542,0,,,0.00,0.00,0.00
543,0,,,855.00,6316.00,430.00
544,0,,,225.00,0.00,0.00
545,0,,,157.00,3007.00,308.00
546,0,,,1621.00,15240.00,2024.00
547,0,,,0.00,0.00,0.00
548,0,,,319.00,2637.00,29.00
549,0,,,0.00,0.00,0.00
550,0,,,767.00,6572.00,658.00
551,0,,,225.00,0.00,0.00
552,0,,,151.00,3764.00,314.00
553,0,,,1661.00,15597.00,2205.00
554,0,,,0.00,0.00,0.00
555,0,,,0.00,0.00,0.00
556,0,,,833.00,7046.00,574.00
557,0,,,180.00,0.00,0.00
558,0,,,151.00,3764.00,314.00
559,0,,,1681.00,15611.00,1934.00
560,0,,,0.00,0.00,0.00
561,0,,,225.00,0.00,0.00
562,0,,,0.00,0.00,0.00
563,0,,,617.00,5591.00,342.00
564,0,,,180.00,0.00,0.00
565,0,,,113.00,3764.00,314.00
566,0,,,1689.00,16684.00,1876.00
567,0,,,0.00,0.00,0.00
568,0,,,225.00,0.00,0.00
569,0,,,674.00,5717.00,422.00
570,0,,,0.00,0.00,0.00
571,0,,,151.00,3764.00,314.00
572,0,,,1723.00,16935.00,2096.00
573,0,,,0.00,0.00,0.00
574,0,,,0.00,0.00,0.00
575,0,,,399.00,1168.00,0.00
576,0,,,0.00,0.00,0.00
577,0,,,821.00,6062.00,547.00
578,0,,,225.00,0.00,0.00
579,0,,,93.00,2635.00,163.00
580,0,,,1702.00,16877.00,1940.00
581,0,,,0.00,0.00,0.00
582,0,,,409.00,1728.00,0.00
583,0,,,0.00,0.00,0.00
584,0,,,0.00,0.00,0.00
585,0,,,420.00,6192.00,2325.00
586,0,,,0.00,0.00,0.00
587,0,,,639.00,7675.00,860.00
588,0,,,0.00,0.00,0.00
589,0,,,552.00,4729.00,539.00
590,0,,,225.00,0.00,0.00
591,0,,,93.00,2635.00,163.00
592,0,,,1644.00,16575.00,1717.00
593,1,,,0.00,0.00,0.00
594,1,,,265.00,1624.00,40.00
595,1,,,0.00,0.00,0.00
596,1,,,726.00,7362.00,1270.00
597,1,,,180.00,0.00,0.00
598,1,,,138.00,2751.00,92.00
599,1,Stress - Achilles,Overuse,1760.00,17353.00,2272.00
600,0,,,0.00,0.00,0.00
601,0,,,0.00,0.00,0.00
602,0,,,0.00,0.00,0.00
603,0,,,135.00,0.00,0.00
604,0,,,675.00,0.00,0.00
605,0,,,0.00,0.00,0.00
606,0,,,818.00,6380.00,730.00
607,0,,,158.00,0.00,0.00
608,0,,,46.00,1382.00,0.00
609,0,,,1634.00,15090.00,2048.00
610,0,,,0.00,0.00,0.00
611,0,,,0.00,0.00,0.00
612,0,,,741.00,6903.00,941.00
613,0,,,180.00,0.00,0.00
614,0,,,52.00,1382.00,0.00
615,0,,,1729.00,9524.00,1450.00
616,0,,,0.00,0.00,0.00
617,0,,,0.00,0.00,0.00
618,0,,,225.00,0.00,0.00
619,0,,,0.00,0.00,0.00
620,0,,,560.00,0.00,0.00
621,0,,,0.00,0.00,0.00
622,0,,,0.00,0.00,0.00
623,0,,,0.00,0.00,0.00
624,0,,,308.00,0.00,0.00
625,0,,,0.00,0.00,0.00
626,0,,,771.00,6545.00,383.00
627,0,,,225.00,0.00,0.00
628,0,,,123.83,2890.00,4.00
629,0,,,1570.00,16317.00,1737.00
630,0,,,0.00,0.00,0.00
631,0,,,420.00,0.00,0.00
632,0,,,0.00,0.00,0.00
633,0,,,669.00,4511.00,567.00
634,0,,,225.00,0.00,0.00
635,0,,,38.00,1382.00,0.00
636,0,,,1706.00,16462.00,1553.00
637,0,,,0.00,0.00,0.00
638,0,,,225.00,0.00,0.00
639,0,,,315.00,0.00,0.00
640,0,,,0.00,0.00,0.00
641,0,,,38.00,1382.00,0.00
642,0,,,1236.00,14562.76,1909.00
643,0,,,0.00,0.00,0.00
644,0,,,0.00,0.00,0.00
645,0,,,270.00,0.00,0.00
646,0,,,0.00,0.00,0.00
647,0,,,823.00,0.00,0.00
648,0,,,0.00,0.00,0.00
649,0,,,76.00,1382.00,0.00
650,0,,,1150.00,12578.00,1116.00
651,0,,,0.00,0.00,0.00
652,0,,,180.00,0.00,0.00
653,0,,,0.00,0.00,0.00
654,0,,,599.00,0.00,0.00
655,0,,,225.00,0.00,0.00
656,0,,,19.00,1382.00,0.00
657,0,,,0.00,0.00,0.00
658,0,,,0.00,0.00,0.00